c_personid,c_name,c_name_chn,c_addr_type,c_addr_id,x_coord,y_coord
353,Zhao Zhen,趙稹,1,11268,116.079254,34.797901
362,Zhao Yi,趙億,1,12800,118.867645,28.956821
363,Zhao Kai,趙開,1,13473,105.337470,29.938040
375,Zhao Bian,趙抃,1,12800,118.867645,28.956821
394,Zhao Tingzhi,趙挺之,1,11152,119.403984,35.993355
395,Zhao Dingchen,趙鼎臣,1,100628,114.679450,35.453640
395,Zhao Dingchen,趙鼎臣,14,101003,0.000000,0.000000
400,Zhao Zisu,趙子潚,1,12762,120.973587,29.952654
411,Zheng Jian,鄭戩,1,12690,120.618622,31.312710
413,Zheng Jin,鄭僅,1,11243,117.187683,34.269634
427,Zheng Wangzhi,鄭望之,3,11243,117.187683,34.269634
427,Zheng Wangzhi,鄭望之,1,100006,117.958280,28.399190
427,Zheng Wangzhi,鄭望之,2,100006,117.958280,28.399190
459,Jiang Zun,姜遵,1,11183,117.864911,36.882379
461,Jiang Zhiji,蔣之奇,1,12726,119.814385,31.363638
465,Jiang Tang,蔣堂,1,12690,120.618622,31.312710
465,Jiang Tang,蔣堂,2,12690,120.618622,31.312710
465,Jiang Tang,蔣堂,3,12726,119.814385,31.363638
466,Jiang Can,蔣璨,1,12726,119.814385,31.363638
469,Jin Anjie,金安節,1,12853,118.043030,29.708360
480,Zhou Jiazheng,周嘉正,1,100416,120.359270,32.657540
483,Zhou Zhidao,周之道,1,12718,119.901375,31.013893
487,Zhou Hang,周沆,1,11143,118.478098,36.697480
491,Zhou Kui,周葵,1,12726,119.814385,31.363638
504,Zhou Dunyi,周敦頤,1,100456,111.614680,25.500400
518,Zhu Zong,朱宗,1,100022,118.688630,25.452890
534,Zhu Yanmei,朱彥美,1,12710,121.227638,31.009476
534,Zhu Yanmei,朱彥美,1,100658,114.335660,34.818340
545,Zhuang Hui,莊徽,14,12435,119.437187,32.391270
545,Zhuang Hui,莊徽,1,12726,119.814385,31.363638
556,Fan Guangyuan,樊光遠,1,12672,120.168625,30.294125
556,Fan Guangyuan,樊光遠,2,12672,120.168625,30.294125
556,Fan Guangyuan,樊光遠,3,13079,111.065003,25.931814
559,Fan Chunren,范純仁,14,12690,120.618622,31.312710
559,Fan Chunren,范純仁,1,100409,112.434110,34.650820
560,Fan Chunli,范純禮,5,12690,120.618622,31.312710
560,Fan Chunli,范純禮,1,100409,112.434110,34.650820
561,Fan Chuncui,范純粹,5,12690,120.618622,31.312710
561,Fan Chuncui,范純粹,1,100409,112.434110,34.650820
562,Fan Chong,范沖,1,13292,104.077995,30.650385
562,Fan Chong,范沖,9,100163,118.502320,28.989910
562,Fan Chong,范沖,1,100658,114.335660,34.818340
575,Fan Rugui,范如圭,1,13890,118.105370,27.339880
578,Fan Bailu,范百祿,3,13292,104.077995,30.650385
578,Fan Bailu,范百祿,1,100658,114.335660,34.818340
578,Fan Bailu,范百祿,2,100658,114.335660,34.818340
581,Fan Shidao,范師道,1,12690,120.618622,31.312710
584,Fan Tong,范同,1,12830,118.768990,32.052563
587,Fan Ziyi,范子儀,1,100409,112.434110,34.650820
593,Fan Yong,范雍,3,13397,104.143768,30.004446
593,Fan Yong,范雍,5,15054,112.512850,37.841050
593,Fan Yong,范雍,1,100409,112.434110,34.650820
593,Fan Yong,范雍,2,100409,112.434110,34.650820
597,Fang Xie,方偕,1,100531,119.100150,25.412790
601,Fang Shiyin,方師尹,2,12886,118.240181,28.679602
601,Fang Shiyin,方師尹,1,12887,117.421311,28.401876
601,Fang Shiyin,方師尹,3,12887,117.421311,28.401876
603,Fang Zi,方滋,1,12672,120.168625,30.294125
603,Fang Zi,方滋,2,12672,120.168625,30.294125
603,Fang Zi,方滋,3,100352,119.639510,29.768790
607,Feng Jing,馮京,14,13124,114.306655,30.573670
607,Feng Jing,馮京,1,100370,114.241250,30.591070
612,Zhou Lijian,周利見,0,12922,0.000000,0.000000
612,Zhou Lijian,周利見,10,12922,0.000000,0.000000
612,Zhou Lijian,周利見,1,100179,114.966690,27.129050
612,Zhou Lijian,周利見,9,100179,114.966690,27.129050
621,Fu Qiu,傅求,1,100508,114.988390,34.869990
628,Fu Bi,富弼,1,12690,120.618622,31.312710
628,Fu Bi,富弼,2,12690,120.618622,31.312710
628,Fu Bi,富弼,3,100409,112.434110,34.650820
630,Han Qi,韓琦,1,11725,114.345497,36.098343
631,Han Qi(2),韓跂,1,11725,114.345497,36.098343
634,Han Zhen,韓縝,1,11032,114.760660,34.495470
636,Han Jiang,韓絳,1,11032,114.760660,34.495470
641,Han Qu,韓璩,1,11725,114.345497,36.098343
642,Han Ju(2),韓琚,1,11725,114.345497,36.098343
644,Han Zhongyan,韓忠彥,1,11725,114.345497,36.098343
656,Han Cuiyan,韓粹彥,1,11725,114.345497,36.098343
657,Han Zong,韓綜,1,11032,114.760660,34.495470
663,Han Zongdao,韓宗道,1,11032,114.760660,34.495470
667,Han Yanzhi,韓彥直,1,12690,120.618622,31.312710
667,Han Yanzhi,韓彥直,2,12690,120.618622,31.312710
667,Han Yanzhi,韓彥直,3,100509,108.353710,36.879310
667,Han Yanzhi,韓彥直,14,101074,0.000000,0.000000
669,Han Yuanji,韓元吉,14,11027,0.000000,0.000000
669,Han Yuanji,韓元吉,1,100006,117.958280,28.399190
674,He Cheng,何偁,1,100673,119.340830,27.989720
678,He Zhongli,何中立,2,12675,120.044180,30.364550
678,He Zhongli,何中立,1,100599,113.955230,34.020810
678,He Zhongli,何中立,10,101088,0.000000,0.000000
679,He Fengyuan,何逢原,1,12780,120.653221,28.018291
685,He Tan,何郯,1,13291,104.077995,30.650385
685,He Tan,何郯,2,13291,104.077995,30.650385
685,He Tan,何郯,5,13393,0.000000,0.000000
685,He Tan,何郯,3,13397,104.143768,30.004446
685,He Tan,何郯,14,101111,0.000000,0.000000
688,He Yunzhong,賀允中,3,11486,114.346001,33.007538
688,He Yunzhong,賀允中,1,12793,121.120598,28.843132
688,He Yunzhong,賀允中,2,12793,121.120598,28.843132
703,Xia Song,夏竦,5,100192,115.606880,29.380590
703,Xia Song,夏竦,1,100658,114.335660,34.818340
714,Xiang Zimin,向子忞,14,11027,0.000000,0.000000
714,Xiang Zimin,向子忞,1,100548,112.708720,27.219460
714,Xiang Zimin,向子忞,2,100548,112.708720,27.219460
714,Xiang Zimin,向子忞,3,100658,114.335660,34.818340
715,Xiang Ziyin,向子諲,14,11027,0.000000,0.000000
715,Xiang Ziyin,向子諲,1,100424,115.414030,27.980510
715,Xiang Ziyin,向子諲,2,100424,115.414030,27.980510
715,Xiang Ziyin,向子諲,3,100658,114.335660,34.818340
716,Xiao Zhen,蕭振,1,12781,120.556442,27.675718
718,Xiao Gu,蕭固,1,100211,115.060840,27.833380
723,Xiao Dingji,蕭定基,1,100080,115.250420,27.190120
723,Xiao Dingji,蕭定基,14,100179,114.966690,27.129050
727,Xie Jiang,謝絳,14,12677,119.947754,30.053434
727,Xie Jiang,謝絳,1,100679,120.723450,31.761880
735,Xianyu Shen,鮮于侁,1,13601,105.967034,31.583160
738,Xin Ciying,辛次膺,14,11172,0.000000,0.000000
738,Xin Ciying,辛次膺,3,11173,119.938004,37.175430
738,Xin Ciying,辛次膺,1,100011,119.600750,32.069710
738,Xin Ciying,辛次膺,2,100011,119.600750,32.069710
753,Xu Xi,徐禧,1,12917,114.559631,29.038708
773,Xu Ziyin,徐子寅,5,11169,120.482676,37.659418
773,Xu Ziyin,徐子寅,1,100584,121.637260,29.840310
773,Xu Ziyin,徐子寅,6,101095,0.000000,0.000000
